,id,skills,skills-want,Experience,rank-model1,rank-model2,rank-model3
16198,16923,"['Bash/Shell', 'Java', 'Python', 'SQL', 'VBA', 'Microsoft SQL Server', 'AWS', '', 'NumPy', 'Pandas', 'Qt', 'Docker']","['Haskell', 'Python', '', '', '', 'NumPy']",Senior,1.0,2.0,5.0
6988,7304,"['C#', 'SQL', 'Cloud Firestore', 'SQLite', 'Firebase', '', '.NET', 'Xamarin']","['C#', 'Dart', 'JavaScript', 'SQL', 'Cloud Firestore', 'SQLite', 'AWS', 'Firebase', '', '.NET', 'Xamarin']",Associate,5.0,3.0,2.0
56167,59425,"['C', 'HTML/CSS', 'JavaScript', 'Lua', 'PHP', 'Python', 'SQL', 'MySQL', 'Redis', '', 'FastAPI', 'Node.js', 'Electron', 'NumPy', 'React Native', 'TensorFlow', 'Torch/PyTorch', 'Hugging Face Transformers']","['C', 'HTML/CSS', 'Lua', 'PHP', 'Python', 'SQL', 'MySQL', '', 'FastAPI', 'Electron', 'Hugging Face Transformers']",Junior,3.0,4.0,4.0
37066,39114,"['HTML/CSS', 'JavaScript', 'TypeScript', 'Neo4j', 'PostgreSQL', 'Redis', 'AWS', 'Heroku', 'Angular', 'Node.js', 'Qt', 'Docker', 'npm']","['C#', 'TypeScript', 'Neo4j', 'PostgreSQL', 'Redis', 'DigitalOcean', 'Heroku', 'Microsoft Azure', 'OpenStack', 'Angular', 'ASP.NET', 'ASP.NET Core ', 'Blazor', 'Node.js', 'Vue.js', '.NET', 'Apache Kafka', 'Capacitor', 'Electron', 'Ionic', 'TensorFlow', 'Docker', 'Homebrew', 'Kubernetes', 'npm']",Architect,2.0,1.0,1.0
5620,5866,"['C#', 'HTML/CSS', 'JavaScript', 'MongoDB', '', 'Express', 'jQuery', 'Node.js', '', 'Unity 3D']","['HTML/CSS', 'JavaScript', 'SQL', '', '', 'Express', 'jQuery', 'Node.js', '', 'Unity 3D']",Junior,4.0,5.0,3.0
