,id,skills,rank-model1,rank-model2,rank-model3
3943,100485,"['PythonCodeIgniter', 'PHP', 'Magento', 'Ruby', 'Html', 'CSS', 'JavaScript', 'Core Java']",2.0,2.0,1.0
6763,47568,"['Django', 'HTML', 'Javascript', 'CSS', 'Python', 'SQL', 'Web Technologies', 'Linux', 'Web Application Development', 'Unix']",1.0,1.0,2.0
2901,39366,"['Enterprise Data Architect', 'Redis', 'Postgres', 'EC2', 'Kinesis', 'Firebase', 'Mongo', 'ElasticSearch', 'Jasper', 'Node', 'Angular JS', 'Data Architect', 'S3', 'EBS']",3.0,3.0,3.0
1870,88149,"['Prism', 'Automation Anywhere', 'Blue Prism', 'Robotic Process Automation', 'RPA Developer', 'RPA', 'SQL Server', 'VB.NET', '.Net', 'Web Services', 'VB', 'Technical Design', 'Software Development', 'Process Design', 'C#']",4.0,4.0,4.0
7209,57818,"['interfaces', 'knowledge', 'html css', 'div', 'layouts', 'website', 'photoshop', 'javascript', 'css3', 'jquery']",5.0,5.0,5.0
