,id,skills,rank-model1,rank-model2,rank-model3
451,62748,"['Pythin', 'L2 Engineer', 'layer 2 engineer', 'level 2 engineer', 'Orent DB', 'graph database', 'Level 3', 'PHP', 'MVC', 'Java', 'MySQL']",68.0,9.0,1.0
6347,45111,"['angular JS', 'UI Developement', 'Django', 'Python', 'MySQL', 'Postgresql', 'SQL']",1.0,1.0,2.0
6970,110641,"['Java', 'Oracle', 'C', 'Spring', 'MySQL', 'SQL Database']",47.0,7.0,3.0
46,71062,"['SQLite', 'Java', 'Android SDK', 'MySQL', 'Postgresql', 'Object Oriented Programming', 'Application Development']",21.0,4.0,5.0
894,95123,"['SQLite', 'Java', 'Android SDK', 'MySQL', 'Postgresql', 'Object Oriented Programming', 'Application Development']",21.0,4.0,5.0
783,41839,"['SQLite', 'Java', 'Android SDK', 'MySQL', 'Postgresql', 'Object Oriented Programming', 'Application Development']",21.0,4.0,5.0
6926,73562,"['data anayast', 'Python', 'SQL']",3.0,2.0,13.0
1000,21416,"['Backend Engineer', 'Node.Js', 'web frameworks', 'JavaScript', 'Ruby on Rails', 'MySQL', 'PostgreSQL']",4.0,8.0,27.0
3055,107403,"['JS', 'Node.js', 'Redis', 'Scala', 'Ruby', 'JQuery', 'MySQL', 'PHP', 'Java', 'Python', 'C++', 'C#']",2.0,6.0,29.0
63,101801,"['MongoDB', 'Javascript', 'Python', 'Java', 'MySQL', 'PHP', 'C++', 'Django', 'CSS', 'Postgresql']",5.0,13.0,33.0
