,id,skills,rank-model1,rank-model2,rank-model3
10081,80894,"['MySQL Db', 'MongoDB', 'GIT', 'CakePHP', 'PHP', 'HTML', 'Javascript', 'JQuery', 'CSS', 'Ruby']",1.0,1.0,1.0
5846,103802,"['Java Programming', 'visual basics', 'good communication skill', 'SME', 'C++ Programming', 'Python', 'data structure', 'Education', 'Content Writing', 'c#', 'online teaching', '.Net']",3.0,3.0,2.0
8521,77020,"['Java', 'J2Ee', 'Web Services', 'SOA', 'Unix', 'Web Technologies', 'HTML', 'Linux', 'Shell Scripting', 'ITIL']",2.0,2.0,3.0
5604,106681,"['Time Series Analysis', 'STATA', 'Crystal Ball', 'Econometrics', 'Quantitative Analysis', 'SAS', 'SPSS', 'Statistics', 'Credit Risk Management', 'Operational Risk']",4.0,4.0,4.0
4158,101958,"['Aldon', 'CL', 'Team Orientation', 'Go Getter', 'Cobol', 'Design Development', 'Software Engineering', 'Retail Banking']",5.0,5.0,5.0
