,id,skills,explevel,name,rank-model1,rank-model2,rank-model3,rating-survey,preferred-survey
15,41,"['C#', 'PowerShell', 'Python', 'SQL', 'Cassandra', 'MariaDB', 'Microsoft SQL Server', 'Microsoft Azure', 'jQuery', 'Apache Spark', 'Pandas', 'Terraform']",Associate,Data engineer,3.0,1.0,1.0,Very Interesting,Preferred
8,24,"['C#', 'Kotlin', 'Python', 'Rust', 'Microsoft SQL Server', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', '.NET', 'Apache Kafka', 'Apache Spark', 'Pandas', 'Docker', 'Kubernetes', 'Terraform']",Senior,Senior Software Engineer,8.0,5.0,3.0
16,42,"['Kotlin', 'Python', 'R', 'SQL', 'Cassandra', 'Elasticsearch', 'Microsoft SQL Server', 'PostgreSQL', 'AWS', 'Microsoft Azure', 'Apache Kafka', 'Apache Spark', 'Keras', 'Pandas', 'TensorFlow', 'Docker', 'Kubernetes', 'Terraform']",Associate,Data scientist,4.0,2.0,2.0
9,25,"['C#', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'SQL', 'MongoDB', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', 'React.js', '.NET', 'Apache Kafka', 'Apache Spark', 'Hadoop', 'Pandas', 'Docker', 'Kubernetes', 'Terraform']",Architect,Software Architect,2.0,3.0,6.0
10,31,"['Clojure', 'Go', 'Java', 'Python', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', 'Node.js', 'React.js', 'Apache Kafka', 'Apache Spark', 'Hadoop', 'Keras', 'NumPy', 'Pandas', 'Scikit-learn', 'Tidyverse', 'TensorFlow', 'Torch/PyTorch', 'Docker', 'Homebrew', 'Kubernetes', 'npm', 'Yarn']",Senior,Development manager,1.0,4.0,9.0,Very Interesting,
