,id,skills,explevel,name,rank-model1,rank-model2,rank-model3
0,11,"['Bash/Shell', 'PowerShell', 'Python', 'R', 'SQL', 'Microsoft SQL Server', 'MySQL', 'AWS', 'Microsoft Azure', '.NET', 'Apache Spark', 'Pandas']",Senior,Data Engineer,2.0,2.0,2.0
18,44,"['Python', 'SQL', 'Microsoft SQL Server', 'Microsoft Azure', 'ASP.NET Core']",Junior,Junior Data engineer,1.0,1.0,1.0
3,14,"['Bash/Shell', 'PowerShell', 'SQL', 'Microsoft SQL Server', 'MySQL', 'PostgreSQL', 'SQLite', 'AWS', 'Microsoft Azure', '.NET', 'Terraform']",Senior,Database Administrator,8.0,6.0,3.0
15,41,"['C#', 'PowerShell', 'Python', 'SQL', 'Cassandra', 'MariaDB', 'Microsoft SQL Server', 'Microsoft Azure', 'jQuery', 'Apache Spark', 'Pandas', 'Terraform']",Associate,Data engineer,3.0,3.0,6.0
