,id,skills,rank-model1,rank-model2,rank-model3
2935,74409,"['Query', 'Communication Skills', 'SSIS', 'SSRS', 'T - SQL', 'SQL']",2.0,1.0,1.0
301,83381,"['Linear Regression', 'Food', 'SQL', 'SAS', 'Advanced Analytics', 'R', 'Predictive Modeling', 'Scorecard', 'Statistics', 'Credit Risk']",1.0,2.0,2.0
1869,79335,"['JEE', 'Distribution System', 'Collection', 'J Unit', 'Rest', 'Spring', 'Hibernate', 'Java', 'Javascript', 'OOPS', 'Problem Solving', 'Multi Threading', 'Design Pattern', 'Web Services', 'Core Java', 'Soap', 'J2EE']",3.0,3.0,3.0
10279,86995,"['microsoft visual studio test professional', 'ms team foundation server', 'OWASP top 10', 'PCI compliance', 'data ecryptions standards', 'Scrum Team', 'Software Testing', 'QA', 'microsoft sql server', 'Agile']",4.0,4.0,4.0
10124,15381,"['java', 'j2ee', 'sql', 'oracle', 'unix', 'linux', 'html', 'aix', 'python', 'tomcat']",5.0,5.0,5.0
