,id,skills,skills-want,Experience,rank-model1,rank-model2,rank-model3
31506,33178,"['C#', 'JavaScript', 'PHP', 'SQL', 'MariaDB', 'Microsoft SQL Server', 'Firebase Realtime Database', 'Firebase', 'Google Cloud', 'Managed Hosting', 'Microsoft Azure', 'ASP.NET Core ', 'Node.js', '.NET']","['C#', 'SQL', 'Firebase Realtime Database', 'Firebase', 'Google Cloud', 'Microsoft Azure', 'ASP.NET Core ', 'Node.js', '.NET']",Junior,3.0,2.0,1.0
54540,57692,"['Delphi', 'HTML/CSS', 'JavaScript', 'SQL', '', 'OVH', 'jQuery']","['Delphi', 'HTML/CSS', 'JavaScript', 'SQL', '', 'OVH', 'jQuery']",Architect,4.0,4.0,4.0
42211,44581,"['Bash/Shell', 'C#', 'Java', 'JavaScript', 'SQL', 'Cloud Firestore', 'Elasticsearch', 'MySQL', 'AWS', 'Microsoft Azure', 'Angular', '.NET', 'Apache Kafka', 'Spring', 'Docker', 'Homebrew', 'npm']","['C#', 'Java', 'Python', 'TypeScript', 'Elasticsearch', 'MariaDB', 'Redis', 'AWS', 'Microsoft Azure', 'Angular', 'Node.js', '.NET', 'Apache Kafka', 'Flutter', 'Pandas', 'Scikit-learn', 'Spring', 'TensorFlow', 'Docker', 'Kubernetes', 'Terraform', 'Yarn']",Architect,2.0,3.0,3.0
46594,49194,"['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PHP', 'PowerShell', 'SQL', 'VBA', 'MariaDB', 'MySQL', 'PostgreSQL', 'AWS', 'Google Cloud', 'Angular', 'jQuery', '.NET', 'Docker']","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PHP', 'PowerShell', 'SQL', 'VBA', '', '', 'ASP.NET Core ', 'Blazor', 'Apache Kafka', 'Kubernetes']",Junior,1.0,1.0,2.0
42148,44516,"['C', 'C#', 'Java', 'JavaScript', 'Rust', 'MongoDB', 'PostgreSQL', '', 'Angular', 'Node.js', 'React.js', 'Spring', 'Docker', 'npm']","['Clojure', 'Haskell', 'Java', 'JavaScript', 'Rust', 'MongoDB', 'PostgreSQL', 'Redis', '', 'Node.js', 'React.js', 'Spring', 'Docker', 'npm']",Junior,5.0,5.0,5.0
