,id,skills,explevel,name,rank-model1,rank-model2,rank-model3
2,13,"['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'MySQL', 'PostgreSQL', 'AWS', 'Angular', 'Angular.js', 'Node.js', 'React.js', 'npm']",Associate,Full Stack Developer,4.0,1.0,2.0
3,14,"['Bash/Shell', 'PowerShell', 'SQL', 'Microsoft SQL Server', 'MySQL', 'PostgreSQL', 'SQLite', 'AWS', 'Microsoft Azure', '.NET', 'Terraform']",Senior,Database Administrator,7.0,5.0,3.0
18,44,"['Python', 'SQL', 'Microsoft SQL Server', 'Microsoft Azure', 'ASP.NET Core']",Junior,Junior Data engineer,10.0,2.0,1.0
12,33,"['C#', 'Java', 'JavaScript', 'Objective-C', 'SQL', 'Swift', 'IBM DB2', 'Microsoft SQL Server', 'MySQL', 'Oracle', 'SQLite', 'VMware', 'ASP.NET', '.NET']",Senior,Support Engineer,1.0,3.0,13.0
11,32,"['Java', 'JavaScript', 'Objective-C', 'SQL', 'Swift', 'VBA', 'IBM DB2', 'Microsoft SQL Server', 'MySQL', 'Oracle', 'VMware', 'ASP.NET', 'ASP.NET Core', 'jQuery', '.NET']",Senior,Support Team Manager,2.0,7.0,18.0
13,34,"['C#', 'HTML/CSS', 'Java', 'SQL', 'Microsoft SQL Server', 'Oracle', 'ASP.NET', '.NET']",Junior,Support Engineer,3.0,12.0,20.0
