,id,skills,skills-want,Experience,rank-model1,rank-model2,rank-model3
62974,66863,"['HTML/CSS', 'JavaScript', 'Python', 'Solidity', 'TypeScript', 'MongoDB', 'AWS', 'Google Cloud', 'Heroku', 'Django', 'Express', 'FastAPI', 'Flask', 'Node.js', 'React.js', 'NumPy', 'Pandas', 'Scikit-learn', 'Homebrew', 'npm', 'Unity 3D', 'Unreal Engine']","['Elixir', 'Rust', 'Redis', '', 'Deno', 'Next.js', 'Electron', 'TensorFlow', 'Torch/PyTorch']",Junior,5.0,5.0,3.0
50222,53065,"['Bash/Shell', 'Haskell', 'HTML/CSS', 'JavaScript', '', '', 'jQuery', '', 'npm']","['Bash/Shell', 'Haskell']",Senior,4.0,4.0,5.0
4259,4452,"['Go', 'HTML/CSS', 'JavaScript', 'Python', 'SQL', 'TypeScript', 'DynamoDB', 'Elasticsearch', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL', 'Heroku', 'Microsoft Azure', 'Express', 'Next.js', 'Node.js', 'React.js', '', 'npm']","['C++', 'Elixir', 'OCaml', 'Rust', 'Solidity', 'Swift']",Junior,2.0,3.0,2.0
6774,7082,"['HTML/CSS', 'JavaScript', 'PHP', 'DynamoDB', 'MongoDB', 'MySQL', 'PostgreSQL', 'AWS', 'Heroku', 'Express', 'Gatsby', 'Next.js', 'Node.js', 'React.js', 'Electron', 'Docker', 'Kubernetes', 'npm']","['Dart', 'Go', 'HTML/CSS', 'JavaScript', 'Rust', 'DynamoDB', 'MongoDB', 'PostgreSQL', 'Redis', 'AWS', 'Firebase', 'Google Cloud', 'Microsoft Azure', 'FastAPI', 'Fastify', 'Next.js', 'Node.js', 'React.js', 'Electron', 'Flutter', 'Spring', 'Docker', 'Kubernetes', 'npm', 'Pulumi', 'Puppet', 'Terraform', 'Unity 3D', 'Unreal Engine']",Junior,3.0,1.0,1.0
10471,10945,"['C', 'C++', 'Java', 'JavaScript', 'Kotlin', 'PowerShell', 'Python', 'MongoDB', 'SQLite', 'Firebase', 'Google Cloud', 'Node.js', '', 'Docker', 'Homebrew', 'npm']","['Kotlin', 'Python']",Architect,1.0,2.0,4.0
