,id,skills,rank-model1,rank-model2,rank-model3
2138,14086,"['Executive', 'Data Analytics', 'Analytics', 'Analyst', 'SQL', 'SSIS', 'SSRS', 'SSAS']",2.0,1.0,1.0
8734,86820,"['Django', 'Python', 'software developer', 'python developer', 'software engineer']",1.0,2.0,2.0
2751,83654,"['DevOps', 'GIT', 'Gradle', 'stash', 'accurev', 'perforce', 'Build', 'release', 'Jenkins', 'AWS', 'Ansible', 'puppet', 'pipline', 'Java', 'Python', 'perl', 'ANT', 'Configuration Management', 'scripting', 'Chef']",3.0,3.0,3.0
2490,15389,"['investment banking', 'sql', 'capital market', 'linux', 'derivatives', 'sabre', 'oracle', 'unix', 'change management', 'risk management']",4.0,4.0,4.0
4020,128096,"['development', 'maintaining', 'javascript', 'html', 'ajax', 'jquery', 'php mysql', 'coding', 'user interface', 'backend']",5.0,5.0,5.0
