,id,skills,explevel,name,rank-model1,rank-model2,rank-model3
0,11,"['Bash/Shell', 'PowerShell', 'Python', 'R', 'SQL', 'Microsoft SQL Server', 'MySQL', 'AWS', 'Microsoft Azure', '.NET', 'Apache Spark', 'Pandas']",Senior,Data Engineer,1.0,1.0,1.0
15,41,"['C#', 'PowerShell', 'Python', 'SQL', 'Cassandra', 'MariaDB', 'Microsoft SQL Server', 'Microsoft Azure', 'jQuery', 'Apache Spark', 'Pandas', 'Terraform']",Associate,Data engineer,3.0,2.0,2.0
16,42,"['Kotlin', 'Python', 'R', 'SQL', 'Cassandra', 'Elasticsearch', 'Microsoft SQL Server', 'PostgreSQL', 'AWS', 'Microsoft Azure', 'Apache Kafka', 'Apache Spark', 'Keras', 'Pandas', 'TensorFlow', 'Docker', 'Kubernetes', 'Terraform']",Associate,Data scientist,7.0,3.0,3.0
18,44,"['Python', 'SQL', 'Microsoft SQL Server', 'Microsoft Azure', 'ASP.NET Core']",Junior,Junior Data engineer,2.0,5.0,10.0
