,id,skills,explevel,name,rank-model1,rank-model2,rank-model3
2,13,"['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'MySQL', 'PostgreSQL', 'AWS', 'Angular', 'Angular.js', 'Node.js', 'React.js', 'npm']",Associate,Full Stack Developer,1.0,1.0,1.0
7,23,"['HTML/CSS', 'JavaScript', 'PostgreSQL', 'Angular.js', 'jQuery', 'Node.js', 'React.js', 'React Native']",Senior,Senior Software Engineer - Frontend,4.0,2.0,2.0
6,22,"['JavaScript', 'PostgreSQL', 'jQuery', 'React.js', 'React Native', 'Docker', 'Kubernetes']",Associate,Software Engineer - Frontend,7.0,5.0,3.0
10,31,"['Clojure', 'Go', 'Java', 'Python', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', 'Node.js', 'React.js', 'Apache Kafka', 'Apache Spark', 'Hadoop', 'Keras', 'NumPy', 'Pandas', 'Scikit-learn', 'Tidyverse', 'TensorFlow', 'Torch/PyTorch', 'Docker', 'Homebrew', 'Kubernetes', 'npm', 'Yarn']",Senior,Development manager,2.0,3.0,4.0
9,25,"['C#', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'SQL', 'MongoDB', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', 'React.js', '.NET', 'Apache Kafka', 'Apache Spark', 'Hadoop', 'Pandas', 'Docker', 'Kubernetes', 'Terraform']",Architect,Software Architect,3.0,4.0,6.0
