,id,skills,rank-model1,rank-model2,rank-model3
6343,102795,"['Puppet', 'Ansible', 'Docker', 'Chef']",1.0,1.0,1.0
10284,118970,"['3d Unity', 'Unity Developer', 'unity programmer', 'unity software engineer', 'unity software developer', 'unity program', 'Lightning', 'Texturing', 'rigging and Animation', 'Unity 3D', '3D modeling']",2.0,2.0,2.0
1347,35455,"['GIT', 'AWS', 'Puppet', 'Ansible', 'Chef']",7.0,6.0,3.0
2775,86869,"['Django', 'Python']",3.5,3.5,4.5
7800,73728,"['Django', 'Python']",3.5,3.5,4.5
7516,74299,['Node.js'],5.0,5.0,6.0
