,id,skills,rank-model1,rank-model2,rank-model3
1041,52058,"['SQL', 'Excel Powerpoint', 'SAS', 'VBA', 'Data Analytics', 'Warranty Analysis', 'Product Quality', 'Quality Analysis', 'Supply Chain', 'Warranty', 'Aviation', 'after market', 'reliability', 'SQA', 'emerging issues detection']",2.0,1.0,1.0
9809,75446,"['Addm', 'Strategic Thinking', 'Technology Leadership', 'Strong Communication Skills', 'Root Cause Analysis', 'SQL', 'Oracle', 'PLSQL', 'Database Administration', 'Project Design']",1.0,2.0,2.0
3048,117829,"['after effects', 'experience', 'sound', 'be', 'who', 'trained', 'working', '2d animation', 'flash', 'c']",4.0,3.0,3.0
6786,10247,"['.net', 'c#', 'asp.net', 'winforms', 'sql server', 'mvc', 'wcf', 'wpf', 'silverlight', 'linq', 'asp.net with c#', '.Net Developer', 'asp.net developer', 'Software Developer']",3.0,4.0,4.0
3221,128133,"['experience', 'html', 'illustrator', 'javascript', 'jquery', 'coding', 'adobe photoshop', 'designs', 'web developer', 'ui']",5.0,5.0,5.0
