,id,skills,rank-model1,rank-model2,rank-model3
5706,14760,"['NodeJS', 'Closures', 'HTML', 'CSS', 'Javascript', 'Java', 'Python', 'Web Technologies', 'Basic', 'Object Oriented JavaScript']",2.0,1.0,1.0
3992,108674,"['Spring', 'Java', 'J2EE', 'Tomcat']",1.0,2.0,2.0
976,62888,"['Testing', 'Log Analysis', 'ASIC Design', 'Hardware Design', 'System Design', 'Application Software', 'Customer Support', 'Software Development', 'C language', 'Perl', 'shell scripting']",3.0,3.0,3.0
3351,13797,"['schematic', 'tools', 'estimation', 'perl', 'automation', 'esd', 'physical verification', 'synopsys', 'coding', 'packaging']",4.0,4.0,4.0
317,101856,"['joomla', 'sql', 'html', 'mysql', 'ajax', 'jquery', 'drupal', 'wordpress', 'zend', 'moodle']",5.0,5.0,5.0
