,id,skills,skills-want,Experience,rank-model1,rank-model2,rank-model3
34698,36574,"['Bash/Shell', 'C', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'SQL', 'TypeScript', 'Elasticsearch', 'MariaDB', 'MySQL', 'PostgreSQL', 'AWS', 'Vue.js', 'Apache Kafka', 'Spring', 'Ansible', 'Docker', 'npm', 'Yarn']","['Bash/Shell', 'C', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'SQL', 'TypeScript', 'Elasticsearch', 'MariaDB', 'MySQL', 'PostgreSQL', 'AWS', 'ASP.NET Core ', 'Vue.js', '.NET', 'Apache Kafka', 'Ansible']",Associate,5.0,5.0,4.0
36075,38051,"['C#', 'C++', 'HTML/CSS', 'JavaScript', '', '', 'Node.js', 'React.js', '', 'npm', 'Unity 3D', 'Unreal Engine']","['C#', 'HTML/CSS', 'JavaScript', '', '', 'Node.js', 'React.js', '', 'Docker', 'Kubernetes', 'npm', 'Unity 3D']",Architect,4.0,3.0,2.0
59644,63275,"['HTML/CSS', 'JavaScript', 'Python', 'TypeScript', 'MongoDB', 'MySQL', 'PostgreSQL', 'SQLite', 'AWS', 'Microsoft Azure', 'Angular', 'Django', 'Node.js', 'React.js', 'NumPy', 'Pandas', 'Docker', 'npm', 'Unity 3D', 'Yarn']","['HTML/CSS', 'JavaScript', 'Python', 'TypeScript', 'MongoDB', 'MySQL', 'PostgreSQL', 'SQLite', 'AWS', 'Microsoft Azure', 'Django', 'Node.js', 'React.js', '', 'Docker', 'npm', 'Yarn']",Associate,1.0,1.0,1.0
10395,10864,"['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'MongoDB', 'Neo4j', 'PostgreSQL', 'SQLite', 'AWS', 'DigitalOcean', 'Deno', 'Django', 'FastAPI', 'Flask', 'jQuery', 'Next.js', 'Node.js', 'React.js', 'NumPy', 'Scikit-learn', 'Docker', 'Kubernetes', 'npm', 'Yarn']","['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'PostgreSQL', 'SQLite', 'DigitalOcean', 'Deno', 'Django', 'FastAPI', 'Flask', 'jQuery', 'NumPy', 'Scikit-learn', 'Docker']",Senior,3.0,2.0,3.0
21285,22253,"['Elixir', 'HTML/CSS', 'JavaScript', 'SQL', 'PostgreSQL', '', 'Phoenix', 'Vue.js', '', 'Docker', 'Homebrew', 'npm', 'Yarn']","['Elixir', 'HTML/CSS', 'SQL', 'PostgreSQL', '', 'Phoenix']",Senior,2.0,4.0,5.0
