,id,skills,rank-model1,rank-model2,rank-model3
5969,60245,"['JSP', 'Core Java', 'Hibernate', 'Spring', 'EJB', 'Servlets', 'Tomcat', 'Design Patterns', 'Websphere', 'Web Services']",3.0,2.0,1.0
65,55612,"['Java Architect', 'JavaJ2EE', 'Web Application Server', 'Apache Tomcat', 'Spring', 'Hibernate']",5.0,3.0,2.0
5076,101496,"['InfoPath', 'Json', 'SSRS Integration', 'BI', 'Workflow', 'CSOM', 'JSOM', 'Timer Jobs', 'Event', 'Feature Receivers', 'SharePoint REST API', 'Custom Web Parts', 'Store Procedures', 'Custom Pages', 'Layout', 'Bug Tracking', '.Net', 'C#', 'JavaScript', 'Jquery', 'ADO.Net', 'SQL', 'SharePoint 2013']",1.0,1.0,3.0
5861,99687,"['Java', 'J2Ee', 'Agile Methodology', 'Scrum', 'Revenue Management', 'Integration Testing', 'Spring', 'Hibernate', 'Adobe Flex', 'Junit', 'SQL Server', 'designing']",2.0,4.0,4.0
6399,46147,"['.Net', 'Dot Net', 'WPF', 'SILVERLIGHT', 'C#', 'OOPS', 'Bank', 'Banking', 'Financial']",4.0,5.0,5.0
