,id,skills,rank-model1,rank-model2,rank-model3
10284,118970,"['3d Unity', 'Unity Developer', 'unity programmer', 'unity software engineer', 'unity software developer', 'unity program', 'Lightning', 'Texturing', 'rigging and Animation', 'Unity 3D', '3D modeling']",2.0,1.0,1.0
6343,102795,"['Puppet', 'Ansible', 'Docker', 'Chef']",3.0,3.0,2.0
7516,74299,['Node.js'],1.0,2.0,3.0
1347,35455,"['GIT', 'AWS', 'Puppet', 'Ansible', 'Chef']",4.0,4.0,4.0
5362,91632,['Ruby on Rails'],6.0,5.0,5.0
7410,20511,"['.net MVC Framework', 'Azure SDK', 'Azure IaaS', '.Net ASPX Level 300', 'Azure ARM', 'PowerShell']",5.0,6.0,10.0
