,id,skills,rank-model1,rank-model2,rank-model3
1439,60582,"['IOC', 'Core Java', 'Spring', 'Hibernate', 'J2Ee', 'Aop', 'HTML', 'Oracle', 'JQuery', 'CSS']",1.0,1.0,1.0
2497,38526,"['C', 'Linux', 'Embedded Software', 'Programming', 'Bsc', 'Software Development']",3.0,3.0,2.0
1547,14258,"['Cocoa Touch', 'XCode', 'IOS', 'Mac OS X', 'Objective C', 'C++', 'SDK', 'Android', 'Data Structures', 'Algorithms']",2.0,2.0,3.0
3716,45057,"['Javascript', 'MVC Architecture', 'Programming']",5.0,4.0,4.0
6853,101965,"['User Stories', 'Web UI', 'New Product', 'Use Cases', 'other JS framework', 'WEB GUI', 'Javascript', 'UI Development', 'ExtJS', 'Design', 'Web Technologies', 'Software Engineering']",4.0,5.0,5.0
