,id,skills,explevel,name,rank-model1,rank-model2,rank-model3
8,24,"['C#', 'Kotlin', 'Python', 'Rust', 'Microsoft SQL Server', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', '.NET', 'Apache Kafka', 'Apache Spark', 'Pandas', 'Docker', 'Kubernetes', 'Terraform']",Senior,Senior Software Engineer,7.0,2.0,1.0
3,14,"['Bash/Shell', 'PowerShell', 'SQL', 'Microsoft SQL Server', 'MySQL', 'PostgreSQL', 'SQLite', 'AWS', 'Microsoft Azure', '.NET', 'Terraform']",Senior,Database Administrator,10.0,4.0,2.0
2,13,"['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'MySQL', 'PostgreSQL', 'AWS', 'Angular', 'Angular.js', 'Node.js', 'React.js', 'npm']",Associate,Full Stack Developer,2.0,3.0,8.0
10,31,"['Clojure', 'Go', 'Java', 'Python', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', 'Node.js', 'React.js', 'Apache Kafka', 'Apache Spark', 'Hadoop', 'Keras', 'NumPy', 'Pandas', 'Scikit-learn', 'Tidyverse', 'TensorFlow', 'Torch/PyTorch', 'Docker', 'Homebrew', 'Kubernetes', 'npm', 'Yarn']",Senior,Development manager,1.0,1.0,3.0
6,22,"['JavaScript', 'PostgreSQL', 'jQuery', 'React.js', 'React Native', 'Docker', 'Kubernetes']",Associate,Software Engineer - Frontend,3.0,8.0,14.0
