,id,skills,skills-want,Experience,rank-model1,rank-model2,rank-model3
61205,64957,"['HTML/CSS', 'JavaScript', '', 'AWS', 'Express', 'jQuery', 'Node.js', '', 'npm']","['HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'SQL', 'TypeScript', '', 'AWS', 'Heroku', 'Microsoft Azure', 'Angular', 'Angular.js', 'Express', 'jQuery', 'Node.js', 'React.js', '', 'Docker', 'Kubernetes', 'npm', 'Yarn']",Junior,5.0,5.0,4.0
4625,4831,"['Bash/Shell', 'Go', 'HTML/CSS', 'PostgreSQL', 'Redis', 'AWS', '', '', 'Docker', 'Kubernetes', 'Terraform']","['Bash/Shell', 'Go', 'HTML/CSS', 'PostgreSQL', 'Redis', 'AWS', '', '', 'Docker', 'Kubernetes', 'Terraform']",Senior,1.0,1.0,1.0
37141,39193,"['HTML/CSS', 'JavaScript', 'Python', 'MySQL', 'Redis', 'SQLite', 'VMware', 'Django', 'Flask', 'Keras', 'TensorFlow', 'Unity 3D']","['Assembly', 'Bash/Shell', 'C#', 'Elixir', 'Haskell', 'Python', 'Rust', 'TypeScript', 'MongoDB', 'Redis', 'SQLite', 'Firebase', 'Heroku', 'Django', 'Flask', 'React.js', '.NET', 'Keras', 'NumPy', 'TensorFlow', 'Docker']",Junior,4.0,3.0,3.0
33430,35223,"['Assembly', 'Bash/Shell', 'C', 'C#', 'C++', 'Dart', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Lua', 'MATLAB', 'Perl', 'PHP', 'Python', 'SQL', 'TypeScript', 'VBA', 'DynamoDB', 'Elasticsearch', 'MariaDB', 'MongoDB', 'MySQL', 'Oracle', 'PostgreSQL', 'Redis', 'Google Cloud', 'Heroku', 'Angular', 'ASP.NET', 'Django', 'Express', 'Flask', 'jQuery', 'Laravel', 'Node.js', 'Nuxt.js', 'React.js', 'Vue.js', 'Apache Kafka', 'Flutter', 'Keras', 'NumPy', 'Pandas', 'Qt', 'Scikit-learn', 'Spring', 'TensorFlow', 'Torch/PyTorch', 'Docker', 'Kubernetes', 'npm', 'Terraform', 'Unity 3D']","['Go', 'Rust', 'DynamoDB', 'Elasticsearch', 'MySQL', 'Redis', 'AWS', 'Google Cloud', 'Heroku', 'Microsoft Azure', 'Next.js', 'Node.js', 'Nuxt.js', 'Vue.js', 'Apache Kafka', 'Ansible', 'Docker', 'Kubernetes', 'npm', 'Terraform']",Junior,3.0,4.0,5.0
28676,30136,"['C', 'C++', 'Java', 'PHP', 'MySQL', 'PostgreSQL', 'Redis', 'Linode', '', '.NET', 'Ansible', 'Docker']","['C', 'C++', 'Kotlin', 'PHP', 'MySQL', 'PostgreSQL', 'Redis', 'Linode', '', '', 'Ansible', 'Docker']",Senior,2.0,2.0,2.0
