,id,skills,explevel,name,rank-model1,rank-model2,rank-model3
4,15,"['Python', 'R', 'Scala', 'SQL', 'MongoDB', 'MySQL', 'AWS', 'Google Cloud', 'Apache Kafka', 'Apache Spark', 'Pandas', 'TensorFlow', 'Torch/PyTorch', '']",Senior,Data Scientist,9.0,2.0,1.0
10,31,"['Clojure', 'Go', 'Java', 'Python', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', 'Node.js', 'React.js', 'Apache Kafka', 'Apache Spark', 'Hadoop', 'Keras', 'NumPy', 'Pandas', 'Scikit-learn', 'Tidyverse', 'TensorFlow', 'Torch/PyTorch', 'Docker', 'Homebrew', 'Kubernetes', 'npm', 'Yarn']",Senior,Development manager,12.0,5.0,2.0
9,25,"['C#', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'SQL', 'MongoDB', 'PostgreSQL', 'AWS', 'Google Cloud', 'Microsoft Azure', 'React.js', '.NET', 'Apache Kafka', 'Apache Spark', 'Hadoop', 'Pandas', 'Docker', 'Kubernetes', 'Terraform']",Architect,Software Architect,11.0,8.0,3.0
16,42,"['Kotlin', 'Python', 'R', 'SQL', 'Cassandra', 'Elasticsearch', 'Microsoft SQL Server', 'PostgreSQL', 'AWS', 'Microsoft Azure', 'Apache Kafka', 'Apache Spark', 'Keras', 'Pandas', 'TensorFlow', 'Docker', 'Kubernetes', 'Terraform']",Associate,Data scientist,1.0,1.0,4.0
0,11,"['Bash/Shell', 'PowerShell', 'Python', 'R', 'SQL', 'Microsoft SQL Server', 'MySQL', 'AWS', 'Microsoft Azure', '.NET', 'Apache Spark', 'Pandas']",Senior,Data Engineer,2.0,3.0,7.0
15,41,"['C#', 'PowerShell', 'Python', 'SQL', 'Cassandra', 'MariaDB', 'Microsoft SQL Server', 'Microsoft Azure', 'jQuery', 'Apache Spark', 'Pandas', 'Terraform']",Associate,Data engineer,3.0,6.0,10.0
