,id,skills,skills-want,Experience,rank-model1,rank-model2,rank-model3
31820,33523,"['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'PHP', 'PowerShell', 'SQL', 'TypeScript', 'MariaDB', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'AWS', 'Heroku', 'Microsoft Azure', 'jQuery', 'Node.js', 'React.js', 'Vue.js', 'Cordova', 'React Native', 'npm', 'Yarn']","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'TypeScript', 'MariaDB', 'MongoDB', 'MySQL', 'AWS', 'Microsoft Azure', 'Node.js', 'React.js', 'Vue.js', 'Cordova', 'React Native', 'Docker', 'Homebrew', 'Kubernetes', 'npm', 'Yarn']",Senior,2.0,4.0,5.0
701,735,"['HTML/CSS', 'Java', 'Python', 'SQL', '', 'AWS', 'Google Cloud', 'Heroku', 'FastAPI', 'Apache Kafka', 'Spring', 'Docker', 'Kubernetes', 'Terraform']","['HTML/CSS', 'Java', 'Kotlin', 'Python', 'Rust', 'SQL', 'TypeScript', '', 'Google Cloud', 'FastAPI', 'Spring', 'Docker', 'Kubernetes', 'Terraform']",Senior,3.0,2.0,3.0
23515,24630,"['Dart', 'HTML/CSS', 'JavaScript', 'Python', 'Cloud Firestore', 'MongoDB', 'Firebase', 'React.js', 'Vue.js', 'Flutter', 'React Native', 'npm', 'Unity 3D', 'Unreal Engine', 'Yarn']","['HTML/CSS', 'JavaScript', 'Python', 'Cloud Firestore', 'Firebase', 'React.js', 'React Native', 'npm', 'Unity 3D']",Junior,4.0,3.0,2.0
22446,23493,"['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', '', '', 'Flask', 'NumPy', 'Unity 3D']","['Assembly', 'Bash/Shell', 'C', 'C#', 'HTML/CSS', 'JavaScript', 'Python', '', '', 'Django', 'Flask', 'Node.js', '', 'Unity 3D']",Junior,5.0,5.0,4.0
26212,27521,"['C#', 'Go', 'PowerShell', 'TypeScript', 'Microsoft SQL Server', 'MongoDB', 'Microsoft Azure', 'ASP.NET Core ', 'Blazor', '.NET', 'Docker', 'Kubernetes', 'Terraform']","['C#', 'PowerShell', 'TypeScript', 'Microsoft SQL Server', 'MongoDB', 'AWS', 'Google Cloud', 'Microsoft Azure', 'ASP.NET Core ', 'Blazor', 'React.js', '.NET', 'Docker', 'Kubernetes', 'Terraform']",Architect,1.0,1.0,1.0
